Player,Position,Class,Latest Team,Season,Destination Team,Date Entered
LF,JR,,,,,
Missouri,,,,,,
2025,,,,,,
Sam Houston State,,,,,,
6/4/2025,,,,,,
Braylon Brooks,,,,,,
P,FR,,,,,
Oklahoma State,,,,,,
2025,,,,,,
Johnson County,,,,,,
6/4/2025,,,,,,
Aydan Decker-Petty,,,,,,
P,JR,,,,,
Indiana,,,,,,
2025,,,,,,
Liberty,,,,,,
6/4/2025,,,,,,
Kyuss Gargett,,,,,,
IF,SO,,,,,
Kentucky,,,,,,
2025,,,,,,
TCU,,,,,,
6/4/2025,,,,,,
Drew Talavs,,,,,,
P,SO,,,,,
Oregon State,,,,,,
2025,,,,,,
San Diego State,,,,,,
6/4/2025,,,,,,
Evan Jones,,,,,,
P,SO,,,,,
Western Kentucky,,,,,,
2025,,,,,,
UCF,,,,,,
6/4/2025,,,,,,
Oliver Service,,,,,,
C,SO,,,,,
Texas,,,,,,
2025,,,,,,
Marshall,,,,,,
6/4/2025,,,,,,
Jackson Parrill,,,,,,
P,JR,,,,,
Lindenwood,,,,,,
2025,,,,,,
Missouri Western,,,,,,
6/4/2025,,,,,,
Brady Patterson,,,,,,
C,JR,,,,,
Illinois-Chicago,,,,,,
2025,,,,,,
Pittsburg State,,,,,,
6/4/2025,,,,,,
Landon Mack,,,,,,
P,FR,,,,,
Rutgers,,,,,,
2025,,,,,,
Tennessee,,,,,,
6/4/2025,,,,,,
Tino Bethancourt,,,,,,
IF,GR,,,,,
San Diego State,,,,,,
2025,,,,,,
Hawaii,,,,,,
6/4/2025,,,,,,
JD Rogers,,,,,,
LF,SR,,,,,
Vanderbilt,,,,,,
2025,,,,,,
UCF,,,,,,
6/4/2025,,,,,,
Bradley Ferrell,,,,,,
P,FR,,,,,
Kentucky,,,,,,
2025,,,,,,
Georgia Southern,,,,,,
6/4/2025,,,,,,
Easton Tumis,,,,,,
P,SO,,,,,
Texas,,,,,,
2025,,,,,,
Kent State,,,,,,
6/4/2025,,,,,,
Ryder Kirtley,,,,,,
2B,FR,,,,,
Virginia Tech,,,,,,
2025,,,,,,
Miami (OH),,,,,,
6/4/2025,,,,,,
Chase Diggins,,,,,,
2B,SR,,,,,
Kansas,,,,,,
2025,,,,,,
Omaha,,,,,,
6/4/2025,,,,,,
Jansen Kenty,,,,,,
P,SO,,,,,
Alabama,,,,,,
2025,,,,,,
Georgia Southern,,,,,,
6/4/2025,,,,,,
Jaxon Lucas,,,,,,
P,SO,,,,,
NC State,,,,,,
2025,,,,,,
Liberty,,,,,,
6/4/2025,,,,,,
Jacob Bean,,,,,,
P,SO,,,,,
Kent State,,,,,,
2025,,,,,,
Louisville,,,,,,
6/4/2025,,,,,,
Hayden Smith,,,,,,
P,SO,,,,,
Kentucky,,,,,,
2025,,,,,,
Troy,,,,,,
6/4/2025,,,,,,
Matt Ossenfort,,,,,,
DH,SO,,,,,
NC State,,,,,,
2025,,,,,,
Michigan,,,,,,
6/4/2025,,,,,,
Yates Bland,,,,,,
P,JR,,,,,
The Citadel,,,,,,
2025,,,,,,
UNLV,,,,,,
6/4/2025,,,,,,
Nick Gimino,,,,,,
IF,FR,,,,,
Cal Poly,,,,,,
2025,,,,,,
Oregon Tech,,,,,,
6/4/2025,,,,,,
Tyler Kapa,,,,,,
P,SR,,,,,
Eastern Michigan,,,,,,
2025,,,,,,
Virginia,,,,,,
6/4/2025,,,,,,
Carson Luna,,,,,,
IF,FR,,,,,
Texas,,,,,,
2025,,,,,,
Michigan,,,,,,
6/4/2025,,,,,,
Mason Hebert,,,,,,
P,FR,,,,,
Stonehill,,,,,,
2025,,,,,,
Fairleigh Dickinson,,,,,,
6/4/2025,,,,,,
Alex Graber,,,,,,
P,FR,,,,,
Northern Illinois,,,,,,
2025,,,,,,
Lenoir-Rhyne,,,,,,
6/4/2025,,,,,,
Frank Ciccone,,,,,,
P,JR,,,,,
Saint Joseph's,,,,,,
2025,,,,,,
East Carolina,,,,,,
6/4/2025,,,,,,
Logan Johnstone,,,,,,
RF,JR,,,,,
Washington State,,,,,,
2025,,,,,,
Vanderbilt,,,,,,
6/4/2025,,,,,,
Cougar Cooke,,,,,,
IF,SO,,,,,
Utah Valley,,,,,,
2025,,,,,,
Arkansas State,,,,,,
6/4/2025,,,,,,
Cael Frost,,,,,,
RF,SR,,,,,
Nebraska,,,,,,
2025,,,,,,
Western Kentucky,,,,,,
6/4/2025,,,,,,
Robert Fortenberry,,,,,,
P,JR,,,,,
Mississippi State,,,,,,
2025,,,,,,
Kansas State,,,,,,
6/4/2025,,,,,,
Carter Kelsey,,,,,,
P,JR,,,,,
Saint Louis,,,,,,
2025,,,,,,
George Mason,,,,,,
6/4/2025,,,,,,
Kevin Mannell,,,,,,
P,JR,,,,,
Mississippi State,,,,,,
2025,,,,,,
Nebraska,,,,,,
6/4/2025,,,,,,
Zak Spurrier,,,,,,
P,FR,,,,,
Kentucky,,,,,,
2025,,,,,,
Samford,,,,,,
6/4/2025,,,,,,
Chase Horst,,,,,,
P,JR,,,,,
Cincinnati,,,,,,
2025,,,,,,
Jacksonville State,,,,,,
6/4/2025,,,,,,
Griffin Cameron,,,,,,
CF,SO,,,,,
Kentucky,,,,,,
2025,,,,,,
Grand Canyon,,,,,,
6/4/2025,,,,,,
Talor Grubbs,,,,,,
P,JR,,,,,
East Carolina,,,,,,
2025,,,,,,
New Mexico,,,,,,
6/4/2025,,,,,,
Joey Valentine,,,,,,
P,JR,,,,,
Wright State,,,,,,
2025,,,,,,
Indiana State,,,,,,
6/4/2025,,,,,,
Tristan Bissetta,,,,,,
RF,JR,,,,,
Clemson,,,,,,
2025,,,,,,
Ole Miss,,,,,,
6/4/2025,,,,,,
Jake Neely,,,,,,
P,FR,,,,,
Arizona State,,,,,,
2025,,,,,,
Southern Miss,,,,,,
6/4/2025,,,,,,
Maddox Webb,,,,,,
P,SO,,,,,
The Citadel,,,,,,
2025,,,,,,
Mississippi State,,,,,,
6/4/2025,,,,,,
RJ Johnson Jr.,,,,,,
LF,SR,,,,,
Rutgers,,,,,,
2025,,,,,,
Richmond,,,,,,
6/4/2025,,,,,,
Juan Cruz,,,,,,
1B,SO,,,,,
Alabama State,,,,,,
2025,,,,,,
Georgia,,,,,,
6/4/2025,,,,,,
Cooper Katskee,,,,,,
P,JR,,,,,
Miami (OH),,,,,,
2025,,,,,,
Nebraska,,,,,,
6/4/2025,,,,,,
Ethan Lizama,,,,,,
RF,SR,,,,,
Western Kentucky,,,,,,
2025,,,,,,
South Carolina,,,,,,
6/4/2025,,,,,,
Charlie Dieruf IV,,,,,,
P,FR,,,,,
Miami (OH),,,,,,
2025,,,,,,
Cincinnati,,,,,,
6/4/2025,,,,,,
Conlan Daniel,,,,,,
CF,FR,,,,,
Wright State,,,,,,
2025,,,,,,
Cincinnati,,,,,,
6/4/2025,,,,,,
Michael O'Brien,,,,,,
CF,SO,,,,,
Mississippi State,,,,,,
2025,,,,,,
Little Rock,,,,,,
6/4/2025,,,,,,
Erik Parker,,,,,,
IF,FR,,,,,
Georgia,,,,,,
2025,,,,,,
South Carolina,,,,,,
6/4/2025,,,,,,
Josh Gunther,,,,,,
P,SO,,,,,
Wake Forest,,,,,,
2025,,,,,,
South Carolina,,,,,,
6/4/2025,,,,,,
Chandler Dorsey,,,,,,
P,JR,,,,,
LSU,,,,,,
2025,,,,,,
UCF,,,,,,
6/4/2025,,,,,,
Matt Scott,,,,,,
P,JR,,,,,
Stanford,,,,,,
2025,,,,,,
Georgia,,,,,,
6/4/2025,,,,,,
Caden Aoki,,,,,,
P,SR,,,,,
USC,,,,,,
2025,,,,,,
Georgia,,,,,,
6/4/2025,,,,,,
Dom Kibler,,,,,,
DH,SO,,,,,
Kent State,,,,,,
2025,,,,,,
Milwaukee,,,,,,
6/4/2025,,,,,,
Jack Bennett,,,,,,
P,JR,,,,,
Western Kentucky,,,,,,
2025,,,,,,
Kentucky,,,,,,
6/4/2025,,,,,,
Nolan Stevens,,,,,,
RF,SO,,,,,
Mississippi State,,,,,,
2025,,,,,,
Oklahoma,,,,,,
6/4/2025,,,,,,
Cayden Brumbaugh,,,,,,
2B,JR,,,,,
Nebraska,,,,,,
2025,,,,,,
Oklahoma,,,,,,
6/4/2025,,,,,,
Russell Sandefer,,,,,,
P,SO,,,,,
UCF,,,,,,
2025,,,,,,
Florida,,,,,,
6/4/2025,,,,,,
Ross Fowler,,,,,,
P,SO,,,,,
UNLV,,,,,,
2025,--,6/4/2025,,,,
Shaun Bridges,,,,,,
IF-OF,SO,,,,,
Alabama State,,,,,,
2025,--,6/4/2025,,,,
Colin Caycedo,,,,,,
P,SO,,,,,
Loyola Marymount,,,,,,
2025,--,6/4/2025,,,,
Gage Smith,,,,,,
P,SR,,,,,
Oakland,,,,,,
2025,--,6/4/2025,,,,
Drew Rutter,,,,,,
DH,SO,,,,,
San Diego State,,,,,,
2025,--,6/4/2025,,,,
Garvey Rumary,,,,,,
P,SO,,,,,
San Diego State,,,,,,
2025,--,6/4/2025,,,,
Cole Frye,,,,,,
P,JR,,,,,
Florida Atlantic,,,,,,
2025,--,6/4/2025,,,,
Lorenzo Soto,,,,,,
IF,JR,,,,,
Kent State,,,,,,
2025,--,6/4/2025,,,,
Robert Oropeza,,,,,,
2B,JR,,,,,
Houston Christian,,,,,,
2025,--,6/4/2025,,,,
Noah Rice,,,,,,
OF,FR,,,,,
Belmont,,,,,,
2025,--,6/4/2025,,,,
Trent Cornell,,,,,,
IF,FR,,,,,
San Francisco,,,,,,
2025,--,6/4/2025,,,,
Logan Grubb,,,,,,
P,FR,,,,,
Kentucky,,,,,,
2025,--,6/4/2025,,,,
Chad Pantuso,,,,,,
LF,FR,,,,,
Texas A&M-Corpus Christi,,,,,,
2025,--,6/4/2025,,,,
Bobby Humphries,,,,,,
OF,FR,,,,,
Texas Southern,,,,,,
2025,--,6/4/2025,,,,
Irvin Weems III,,,,,,
LF,SR,,,,,
Houston,,,,,,
2025,--,6/4/2025,,,,
Luis Garcia,,,,,,
2B,SR,,,,,
North Dakota State,,,,,,
2025,--,6/4/2025,,,,
Alex Hayes,,,,,,
P,SR,,,,,
Southeast Missouri,,,,,,
2025,--,6/4/2025,,,,
Blake Julius,,,,,,
P,FR,,,,,
Oklahoma State,,,,,,
2025,--,6/4/2025,,,,
Dylan Snead,,,,,,
RF,FR,,,,,
Texas A&M-Corpus Christi,,,,,,
2025,--,6/4/2025,,,,
Jack Topolski,,,,,,
P,SO,,,,,
Eastern Michigan,,,,,,
2025,--,6/4/2025,,,,
DJ Akiyama,,,,,,
SS,JR,,,,,
Campbell,,,,,,
2025,--,6/4/2025,,,,
Curtis Battle,,,,,,
2B,SO,,,,,
Coppin State,,,,,,
2025,--,6/4/2025,,,,
Corey Battey,,,,,,
P,SO,,,,,
Prairie View,,,,,,
2025,--,6/4/2025,,,,
Blake Hall,,,,,,
SS,FR,,,,,
Prairie View,,,,,,
2025,--,6/4/2025,,,,
Cade Perkins,,,,,,
P,JR,,,,,
Southeast Missouri,,,,,,
2025,--,6/4/2025,,,,
Brendan Ealy,,,,,,
P,FR,,,,,
Lindenwood,,,,,,
2025,--,6/4/2025,,,,
Kyle Hartmann,,,,,,
C,FR,,,,,
Northern Illinois,,,,,,
2025,--,6/4/2025,,,,
Franky Lopez,,,,,,
P,JR,,,,,
Utah Valley,,,,,,
2025,--,6/4/2025,,,,
Simon Yoakum,,,,,,
LF,FR,,,,,
Mississippi Valley,,,,,,
2025,--,6/4/2025,,,,
Luke Odden,,,,,,
2B,SR,,,,,
Georgia Southern,,,,,,
2025,--,6/4/2025,,,,
Elias Fiddler,,,,,,
IF-UT,JR,,,,,
New Mexico,,,,,,
2025,--,6/4/2025,,,,
Ethan Ianni,,,,,,
P,JR,,,,,
UMBC,,,,,,
2025,--,6/4/2025,,,,
Jake Martinez,,,,,,
CF,JR,,,,,
UT Arlington,,,,,,
2025,--,6/4/2025,,,,
Nicholas Alonso,,,,,,
CF,FR,,,,,
Arkansas State,,,,,,
2025,--,6/4/2025,,,,
Tucker Smith,,,,,,
1B,FR,,,,,
Belmont,,,,,,
2025,--,6/4/2025,,,,
Nate Davila,,,,,,
P,FR,,,,,
Mississippi Valley,,,,,,
2025,--,6/4/2025,,,,
Chase Moore,,,,,,
3B,FR,,,,,
Prairie View,,,,,,
2025,--,6/4/2025,,,,
Paxton Huff,,,,,,
RF,JR,,,,,
Prairie View,,,,,,
2025,--,6/4/2025,,,,
Sam Thompson,,,,,,
P,SR,,,,,
UNC Asheville,,,,,,
2025,--,6/4/2025,,,,
Will Epstein,,,,,,
OF,SO,,,,,
VCU,,,,,,
2025,--,6/4/2025,,,,
Avery Schwartz,,,,,,
P,SO,,,,,
Villanova,,,,,,
2025,--,6/4/2025,,,,
Aidan Smith,,,,,,
P,SO,,,,,
West Virginia,,,,,,
2025,--,6/4/2025,,,,
Colin Casteel,,,,,,
P,SO,,,,,
Youngstown State,,,,,,
2025,--,6/4/2025,,,,
Tyler Floyd,,,,,,
OF,FR,,,,,
College of Charleston,,,,,,
2025,--,6/4/2025,,,,
Brody Barker,,,,,,
C,JR,,,,,
Lindenwood,,,,,,
2025,--,6/4/2025,,,,
Justin Gunter,,,,,,
P,FR,,,,,
Longwood,,,,,,
2025,--,6/4/2025,,,,
Hauze Fragoso,,,,,,
P,JR,,,,,
CSU Bakersfield,,,,,,
2025,,,,,,
Cal Poly,,,,,,
6/3/2025,,,,,,
Brady Baxter,,,,,,
P,SO,,,,,
Marshall,,,,,,
2025,,,,,,
Alabama A&M,,,,,,
6/3/2025,,,,,,
Sean Duke,,,,,,
P,JR,,,,,
North Carolina A&T,,,,,,
2025,,,,,,
St. Thomas Aquinas,,,,,,
6/3/2025,,,,,,
Christian Smith,,,,,,
LF,JR,,,,,
Abilene Christian,,,,,,
2025,,,,,,
CSU Dominguez Hills,,,,,,
6/3/2025,,,,,,
Dylan Kaminski,,,,,,
P,FR,,,,,
University of Indianapolis,,,,,,
2025,,,,,,
Western Illinois,,,,,,
6/3/2025,,,,,,
Cade Sonoqui,,,,,,
P,JR,,,,,
Pacific,,,,,,
2025,,,,,,
Western Illinois,,,,,,
6/3/2025,,,,,,
Braden LaRusso,,,,,,
P,JR,,,,,
Texas A&M-Corpus Christi,,,,,,
2025,,,,,,
Davenport,,,,,,
6/3/2025,,,,,,
Daniel Pacella,,,,,,
LF,JR,,,,,
Illinois State,,,,,,
2025,,,,,,
Ole Miss,,,,,,
6/3/2025,,,,,,
Evan Koehler,,,,,,
P,JR,,,,,
USF,,,,,,
2025,,,,,,
Georgia Southwestern,,,,,,
6/3/2025,,,,,,
Casey Artigues,,,,,,
DH,JR,,,,,
Louisiana,,,,,,
2025,,,,,,
Nicholls,,,,,,
6/3/2025,,,,,,
Luke Greenlee,,,,,,
P,JR,,,,,
TCU,,,,,,
2025,,,,,,
Lubbock Christian,,,,,,
6/3/2025,,,,,,
Chris Cancel,,,,,,
C,FR,,,,,
Binghamton,,,,,,
2025,,,,,,
Connecticut,,,,,,
6/3/2025,,,,,,
Ranard Grace,,,,,,
P,JR,,,,,
Southern,,,,,,
2025,,,,,,
Southeast Missouri,,,,,,
6/3/2025,,,,,,
Walker Buchanan,,,,,,
LF,SO,,,,,
Virginia,,,,,,
2025,,,,,,
Bradley,,,,,,
6/3/2025,,,,,,
Jonathan Stevens,,,,,,
P,FR,,,,,
Alabama,,,,,,
2025,--,6/3/2025,,,,
Caleb Marmo,,,,,,
LF,SR,,,,,
Western Kentucky,,,,,,
2025,,,,,,
Belmont,,,,,,
6/3/2025,,,,,,
Paden Mather,,,,,,
P,FR,,,,,
Wagner,,,,,,
2025,,,,,,
Montclair State,,,,,,
6/3/2025,,,,,,
Dominic Archila,,,,,,
C,JR,,,,,
Texas Tech,,,,,,
2025,,,,,,
Wichita State,,,,,,
6/3/2025,,,,,,
Ellis Reid III,,,,,,
RF,SO,,,,,
North Carolina A&T,,,,,,
2025,,,,,,
Saint Peter's,,,,,,
6/3/2025,,,,,,
Jake Griess,,,,,,
2B,FR,,,,,
Wagner,,,,,,
2025,,,,,,
RCSJ Gloucester,,,,,,
6/3/2025,,,,,,
Drew Downs,,,,,,
RF,FR,,,,,
East Carolina,,,,,,
2025,,,,,,
Brunswick,,,,,,
6/3/2025,,,,,,
Spencer Warfield,,,,,,
CF,JR,,,,,
Valparaiso,,,,,,
2025,,,,,,
USC Upstate,,,,,,
6/3/2025,,,,,,
Owen Ross,,,,,,
3B,JR,,,,,
USC Upstate,,,,,,
2025,,,,,,
Northern Illinois,,,,,,
6/3/2025,,,,,,
James Bose,,,,,,
SS,JR,,,,,
Loyola Marymount,,,,,,
2025,,,,,,
Santa Clara,,,,,,
6/3/2025,,,,,,
Garrett Landry,,,,,,
P,JR,,,,,
Stephen F. Austin,,,,,,
2025,,,,,,
UT Tyler,,,,,,
6/3/2025,,,,,,
Solomon McKinney,,,,,,
P,FR,,,,,
North Carolina A&T,,,,,,
2025,,,,,,
Lincoln (PA),,,,,,
6/3/2025,,,,,,
Ed Wagner,,,,,,
P,JR,,,,,
Charlotte,,,,,,
2025,,,,,,
North Florida,,,,,,
6/3/2025,,,,,,
Jack Helmholz,,,,,,
3B,FR,,,,,
Nevada,,,,,,
2025,,,,,,
Jessup,,,,,,
6/3/2025,,,,,,
Will Smoot,,,,,,
C,JR,,,,,
East Tennessee State,,,,,,
2025,,,,,,
Illinois-Chicago,,,,,,
6/3/2025,,,,,,
Carter Daniels,,,,,,
P,JR,,,,,
North Carolina A&T,,,,,,
2025,,,,,,
Mount Olive,,,,,,
6/3/2025,,,,,,
Cade O'Hara,,,,,,
IF,JR,,,,,
Texas,,,,,,
2025,,,,,,
Cal State Fullerton,,,,,,
6/3/2025,,,,,,
Elliot Joslin,,,,,,
P,JR,,,,,
Saint Mary's (CA),,,,,,
2025,,,,,,
Florida Southern,,,,,,
6/3/2025,,,,,,
Juan Villarreal,,,,,,
P,JR,,,,,
Florida International,,,,,,
2025,,,,,,
Missouri,,,,,,
6/3/2025,,,,,,
Logan Duffy,,,,,,
LF,SO,,,,,
Pittsburgh,,,,,,
2025,,,,,,
UL Monroe,,,,,,
6/3/2025,,,,,,
Alex Rosario,,,,,,
P,JR,,,,,
Louisiana,,,,,,
2025,,,,,,
Winthrop,,,,,,
6/3/2025,,,,,,
Peter Storjohann,,,,,,
P,JR,,,,,
UC Santa Barbara,,,,,,
2025,,,,,,
UC Davis,,,,,,
6/3/2025,,,,,,
Landon Sexton,,,,,,
P,JR,,,,,
USC Upstate,,,,,,
2025,,,,,,
Middle Tennessee,,,,,,
6/3/2025,,,,,,
Lathen Buzard,,,,,,
3B,SO,,,,,
Northwestern State,,,,,,
2025,,,,,,
MSU Denver,,,,,,
6/3/2025,,,,,,
AJ DePaolo,,,,,,
C,FR,,,,,
Vanderbilt,,,,,,
2025,,,,,,
Texas Tech,,,,,,
6/3/2025,,,,,,
Sam McArthur,,,,,,
P,FR,,,,,
Illinois,,,,,,
2025,,,,,,
Lakeland CC,,,,,,
6/3/2025,,,,,,
Gabe Smith,,,,,,
P,FR,,,,,
Missouri State,,,,,,
2025,,,,,,
John A. Logan,,,,,,
6/3/2025,,,,,,
Braden Gluth,,,,,,
P,SR,,,,,
Creighton,,,,,,
2025,,,,,,
North Dakota State,,,,,,
6/3/2025,,,,,,
Justin Best,,,,,,
RF,FR,,,,,
New Orleans,,,,,,
2025,,,,,,
Manhattan,,,,,,
6/3/2025,,,,,,
Dante DeFranco,,,,,,
SS/CF,GR,,,,,
Charlotte,,,,,,
2025,,,,,,
VCU,,,,,,
6/3/2025,,,,,,
Jackson Allred,,,,,,
P,JR,,,,,
Alabama State,,,,,,
2025,,,,,,
Saint Mary's (CA),,,,,,
6/3/2025,,,,,,
Felix Gonzalez,,,,,,
C,FR,,,,,
Fairleigh Dickinson,,,,,,
2025,,,,,,
Point Park,,,,,,
6/3/2025,,,,,,
Gabe Breckenridge,,,,,,
3B,SO,,,,,
Coppin State,,,,,,
2025,,,,,,
Savannah State,,,,,,
6/3/2025,,,,,,
Charlie Miller,,,,,,
P,SO,,,,,
Missouri,,,,,,
2025,,,,,,
Southern Illinois,,,,,,
6/3/2025,,,,,,
Tristan Head,,,,,,
2B,SO,,,,,
Georgetown,,,,,,
2025,,,,,,
California,,,,,,
6/3/2025,,,,,,
Trey Fenderson,,,,,,
2B,JR,,,,,
Presbyterian,,,,,,
2025,,,,,,
Pittsburgh,,,,,,
6/3/2025,,,,,,
Nick Bonn,,,,,,
P,JR,,,,,
Dallas Baptist,,,,,,
2025,,,,,,
Cal Poly,,,,,,
6/3/2025,,,,,,
Landon Mueller,,,,,,
P,JR,,,,,
Omaha,,,,,,
2025,,,,,,
Eastern Michigan,,,,,,
6/3/2025,,,,,,
Adrian Garcia,,,,,,
P,FR,,,,,
Fresno State,,,,,,
2025,,,,,,
Saint Mary's (CA),,,,,,
6/3/2025,,,,,,
Blake Conrad,,,,,,
C,JR,,,,,
Saint Mary's (CA),,,,,,
2025,,,,,,
Rogers State,,,,,,
6/3/2025,,,,,,
John Alkire Jr.,,,,,,
P,JR,,,,,
Texas State,,,,,,
2025,,,,,,
Hawaii,,,,,,
6/3/2025,,,,,,
Lance Wade,,,,,,
P,SR,,,,,
Winthrop,,,,,,
2025,,,,,,
Missouri State,,,,,,
6/3/2025,,,,,,
Brendan Lysik,,,,,,
P,SR,,,,,
Texas Tech,,,,,,
2025,,,,,,
Gardner-Webb,,,,,,
6/3/2025,,,,,,
Bryce Calloway,,,,,,
1B,SR,,,,,
New Orleans,,,,,,
2025,,,,,,
Georgia,,,,,,
6/3/2025,,,,,,
Mason Bixby,,,,,,
P,SO,,,,,
TCU,,,,,,
2025,,,,,,
Oklahoma,,,,,,
6/3/2025,,,,,,
Zach Justice,,,,,,
C,FR,,,,,
Oregon,,,,,,
2025,,,,,,
San Diego State,,,,,,
6/3/2025,,,,,,
Kash Ferris,,,,,,
P,FR,,,,,
Oklahoma State,,,,,,
2025,,,,,,
Oral Roberts,,,,,,
6/3/2025,,,,,,
Kelton Phillips,,,,,,
CF,FR,,,,,
Texas Southern,,,,,,
2025,,,,,,
Akron,,,,,,
6/3/2025,,,,,,
Riley Weatherwax,,,,,,
P,FR,,,,,
Penn State,,,,,,
2025,,,,,,
Monmouth,,,,,,
6/3/2025,,,,,,
Jeremiah Cabuyaban,,,,,,
DH,JR,,,,,
Arkansas State,,,,,,
2025,,,,,,
Northwest Missouri State,,,,,,
6/3/2025,,,,,,
Jack Mausser,,,,,,
DH,JR,,,,,
Charleston Southern,,,,,,
2025,,,,,,
Missouri Western,,,,,,
6/3/2025,,,,,,
Jorge Valdes,,,,,,
LF,FR,,,,,
West Virginia,,,,,,
2025,,,,,,
Xavier,,,,,,
6/3/2025,,,,,,
Griffin Stieg,,,,,,
P,JR,,,,,
Virginia Tech,,,,,,
2025,,,,,,
Alabama,,,,,,
6/3/2025,,,,,,
Ryan Ashford,,,,,,
P,FR,,,,,
Miami,,,,,,
2025,,,,,,
Arkansas State,,,,,,
6/3/2025,,,,,,
Chayce Kieck,,,,,,
P,FR,,,,,
Clemson,,,,,,
2025,,,,,,
Northwestern,,,,,,
6/3/2025,,,,,,
Eddie Madrigal,,,,,,
1B,JR,,,,,
Saint Mary's (CA),,,,,,
2025,,,,,,
Auburn,,,,,,
6/3/2025,,,,,,
Luke Skinner,,,,,,
3B,FR,,,,,
Loyola Marymount,,,,,,
2025,,,,,,
Bradley,,,,,,
6/3/2025,,,,,,
Kyle Bade,,,,,,
P,SO,,,,,
Oklahoma State,,,,,,
2025,,,,,,
San Diego,,,,,,
6/3/2025,,,,,,
Matthew Brandt,,,,,,
1B,JR,,,,,
Oral Roberts,,,,,,
2025,,,,,,
Mount St. Mary's,,,,,,
6/3/2025,,,,,,
Andrew Evans,,,,,,
P,JR,,,,,
Kansas State,,,,,,
2025,,,,,,
Southern Illinois,,,,,,
6/3/2025,,,,,,
Evan Escobar,,,,,,
SS,FR,,,,,
San Diego State,,,,,,
2025,,,,,,
Wichita State,,,,,,
6/3/2025,,,,,,
RJ Hamilton,,,,,,
LF,SO,,,,,
Vanderbilt,,,,,,
2025,,,,,,
Duke,,,,,,
6/3/2025,,,,,,
Andrew Middleton,,,,,,
P,SO,,,,,
UMass,,,,,,
2025,,,,,,
West Virginia,,,,,,
6/3/2025,,,,,,
Luke Shannahan,,,,,,
1B,JR,,,,,
North Dakota State,,,,,,
2025,,,,,,
Missouri Western,,,,,,
6/3/2025,,,,,,
Garret Plata,,,,,,
P,JR,,,,,
Saint Mary's (CA),,,,,,
2025,,,,,,
Pacific,,,,,,
6/3/2025,,,,,,
Justin Gorski,,,,,,
3B,SO,,,,,
Miami (OH),,,,,,
2025,,,,,,
Maryville,,,,,,
6/3/2025,,,,,,
Taylor Tomlin,,,,,,
CF,SO,,,,,
Oakland,,,,,,
2025,,,,,,
Long Beach State,,,,,,
6/3/2025,,,,,,
Ace Whitehead,,,,,,
P,SR,,,,,
Texas,,,,,,
2025,,,,,,
USC,,,,,,
6/3/2025,,,,,,
James McCoy,,,,,,
1B,JR,,,,,
Kentucky,,,,,,
2025,,,,,,
Georgia Southern,,,,,,
6/3/2025,,,,,,
Jack Fitzgerald,,,,,,
1B,SO,,,,,
Dayton,,,,,,
2025,,,,,,
University of Montevallo,,,,,,
6/3/2025,,,,,,
Carson Kimball,,,,,,
P,FR,,,,,
New Orleans,,,,,,
2025,,,,,,
Florida Atlantic,,,,,,
6/3/2025,,,,,,
Jay Miller,,,,,,
P,JR,,,,,
UNC Greensboro,,,,,,
2025,,,,,,
Washington,,,,,,
6/3/2025,,,,,,
Bryson Moore,,,,,,
P,SO,,,,,
Virginia,,,,,,
2025,,,,,,
Florida State,,,,,,
6/3/2025,,,,,,
Boone Herman,,,,,,
3B,FR,,,,,
UNC Greensboro,,,,,,
2025,,,,,,
UNC Pembroke,,,,,,
6/3/2025,,,,,,
Cole Stokes,,,,,,
P,SO,,,,,
Oregon,,,,,,
2025,,,,,,
Florida State,,,,,,
6/3/2025,,,,,,
Alec Belardes,,,,,,
P,SO,,,,,
Arizona State,,,,,,
2025,,,,,,
San Diego State,,,,,,
6/3/2025,,,,,,
Brigden Parker,,,,,,
P,JR,,,,,
Kansas,,,,,,
2025,,,,,,
Little Rock,,,,,,
6/3/2025,,,,,,
Ty Uchman,,,,,,
P,SO,,,,,
George Mason,,,,,,
2025,,,,,,
Grand Valley State,,,,,,
6/3/2025,,,,,,
Bryson Thacker,,,,,,
P,FR,,,,,
Tennessee,,,,,,
2025,,,,,,
West Virginia,,,,,,
6/3/2025,,,,,,
TJ Williams,,,,,,
1B,JR,,,,,
Kansas,,,,,,
2025,,,,,,
Eastern Michigan,,,,,,
6/3/2025,,,,,,
Jackson Sirois,,,,,,
3B,FR,,,,,
Virginia,,,,,,
2025,,,,,,
Maryland,,,,,,
6/3/2025,,,,,,
Sebastian Gutierrez,,,,,,
P,JR,,,,,
Northern Illinois,,,,,,
2025,,,,,,
Missouri Western,,,,,,
6/3/2025,,,,,,
Danny Lachenmayer,,,,,,
P,FR,,,,,
North Dakota State,,,,,,
2025,,,,,,
LSU,,,,,,
6/3/2025,,,,,,
Brandin Anderson,,,,,,
P,JR,,,,,
Youngstown State,,,,,,
2025,,,,,,
Clarion,,,,,,
6/3/2025,,,,,,
Matthew Flores,,,,,,
P,JR,,,,,
UC Riverside,,,,,,
2025,,,,,,
Kansas State,,,,,,
6/3/2025,,,,,,
Jake Jackson,,,,,,
CF,SO,,,,,
San Diego State,,,,,,
2025,--,6/3/2025,,,,
Camden Diamond,,,,,,
P,JR,,,,,
West Georgia,,,,,,
2025,,,,,,
West Alabama,,,,,,
6/3/2025,,,,,,
Ben Waliczek,,,,,,
